"Function
功能"	"Class ID
类"	"Ver.
版本"	"FID2/
IDIS/Hexing"	"Attribute
&
Method
No.
属性
方法"	"Object
&
Attribute
Name
对象&属性名"	"Attribute
&
Parameter
Type
属性&方法参数类型"	"OBIS Code
&
Default Value
OBIS&默认值"	"Display OBIS code（6）
显示OBIS（6 段）"	"Display OBIS code（4）
显示OBIS（4 段）"	"Access Right
访问权限"				"Comments
注释"	"XML Comments
XML 注释"	"Coding
编码"
										"Public
 (16)"	"Pre.Est.
 (102)"	"Management
 (1)"	"Reading
 (2)"			
电网质量//电网质量	1	0	FID2 & IDIS		Number of Short Power Failure in Any Phases		0-0:96.7.21.255	C.7.21	C.7.21					任意相短时间掉电次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0000600715FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//电网质量	1	0	FID2 & IDIS		Number of long power failures in any phase		0-0:96.7.9.255	C.7.9	C.7.9					任意相长时间掉电次数		
电网质量//电网质量	1		FID2 & IDIS	a1	logical_name	octet_string[6]	"0000600709FF"			\	\	R	R			Hex
电网质量//电网质量	1		FID2 & IDIS	a2	value	long_unsigned				\	\	R	R			
电网质量//时间相关	3	0	FID2 & IDIS		Time threshold for long power failure		0-0:96.7.20.255	C.7.20	C.7.20					长时间掉电时间门限		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0000600714FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned	180			\	W	RW	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Time threshold for short power failure		0-0:96.7.135.255	C.7.135						短时间掉电时间门限		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	long_unsigned	180			\	W	RW	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Duration of last long power failure in any phase		0-0:96.7.19.255	C.7.19	C.7.19					任意相长时间掉电持续时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0000600713FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Duration of long+short power failure in any phase		0-0:96.7.131.255	C.7.131						任意相掉电（长+短）事件持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Total duration of long power failure in all phase		0-0:96.7.136.255	C.7.136						(所有相)长掉电总累计时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0000600713FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	FID2 & IDIS		Total duration of short power failure in all phase		0-0:96.7.137.255	C.7.137						(所有相)短掉电总累计时间		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"0000600713FF"			\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//时间相关	3	0	Hexing		Duration of last power failure in all phase		0-0:96.7.132.255	C.7.132						电表掉电持续时间		
电网质量//时间相关	3		Hexing	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		Hexing	a2	value	double_long_unsigned				\	\	R	R			
电网质量//时间相关	3		Hexing	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		Hexing	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	0	FID2 & IDIS		Threshold for Under Voltage (sag)		1-0:12.31.0.255	12.31.0						欠压门限		
电网质量//判断电压	3		FID2 & IDIS	a1	logical_name	octet_string[6]	"01000C1F00FF"			\	\	R	R			Hex
电网质量//判断电压	3		FID2 & IDIS	a2	value	long_unsigned	less than 20% VREF			\	W	RW	R		voltage	
电网质量//判断电压	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	 {-1,35}			\	\	R	R			
电网质量//判断电压	3		IDIS	m1	reset	integer				\	\	\	\			
电网质量//判断电压	3	废弃	Hexing	a2	Threshold for under voltage	long_unsigned	1-0:12.130.0.255							欠压判断阀值		
电网质量//时间相关	3	0	FID2 & IDIS		Resotre time threshold for Under Voltage (sag)		1-0:12.179.0.255	12.179.0						欠压电压恢复延迟		
电网质量//时间相关	3		FID2 & IDIS	a1	logical_name	octet_string[6]				\	\	R	R			Hex
电网质量//时间相关	3		FID2 & IDIS	a2	value	long_unsigned				\	W	RW	R		voltage	
电网质量//时间相关	3		FID2 & IDIS	a3	scaler_unit	scal_unit_type	{0,7}			\	\	R	R			
电网质量//时间相关	3		IDIS	m1	reset	integer				\	\	\	\			
